Monitor	Latitude	Longitude	fourthmaxOzone	meanOzone	maxOzone	avgTemp	mean4MaxTemp	meanMaxTemp	nmonitors	TotPop	PctUrban	PctInUAs	PctInUCs	PctRural	PctWhite	PctBlack	PctHisp	PctHighSchool	MedianHHInc	PctPoor	PctFemale	TotHUs	PctUrbanHUs	PctRuralHUs	PctOccupied	PctMovedIn5	MedianHValue	PopPerSQM	Year	Month
"40121-0415"	34.90227	-95.784375	0.027	0.031299847826087	0.072	73.5468573641304	73.0	82.2554347826087	2	87342	0.640928762794532	0.0	0.640928762794532	0.359071237205468	0.770534221794784	0.0540175402440979	0.0321494813491791	0.361656868164079	28412.6666666667	0.168828874305906	0.486867715417554	37092	0.631672597864769	0.368327402135231	0.889329235414645	0.479400976142117	51883.3333333333	51.6816877281688	2004.0	"6, 7, 8"
"40143-0137"	36.357438	-95.999247	0.028	0.0304959891304348	0.071	74.3627743713239	73.0	82.9446995603322	5	27950	0.645330948121646	0.453846153846154	0.191484794275492	0.354669051878354	0.500214669051878	0.324901610017889	0.0239713774597496	0.390329104614819	33363.6666666667	0.182747165451	0.520286225402504	10569	0.647175702526256	0.352824297473744	0.919008420853439	0.423247194481623	60333.3333333333	114.166923323494	2004.0	"6, 7, 8"
"40143-0174"	35.953708	-96.004975	0.024	0.0312427608695652	0.08	74.3627743713239	73.0	82.9446995603322	5	18976	0.882377740303541	0.448408516020236	0.433969224283305	0.117622259696459	0.823566610455312	0.0228182967959528	0.0395236087689713	0.287063267233239	48045.6666666667	0.0594773686741837	0.51870784148398	6935	0.884066330209084	0.115933669790916	0.965969718817592	0.503209434243917	80200.0	519.093155734223	2004.0	"6, 7, 8"
"40143-0178"	36.133802	-95.764537	0.028	0.0321179770114943	0.081	74.3627743713239	73.0	82.9446995603322	5	79542	0.937253274999371	0.937253274999371	0.0	0.0627467250006286	0.703791707525584	0.093812074124362	0.102524452490508	0.324023574068525	33619.875	0.131421867546766	0.502162379623344	32569	0.937179526543646	0.0628204734563542	0.949184807639166	0.572782558064307	67575.0	755.982326703272	2004.0	"6, 7, 8"
"40143-1127"	36.204902	-95.976537	0.024	0.0280095869565217	0.069	74.3627743713239	73.0	82.9446995603322	5	479875	0.987000781453504	0.987000781453504	0.0	0.0129992185464965	0.672306329773378	0.183983328991925	0.0664818963271685	0.274803642222028	30845.9696969697	0.158613291619057	0.511314404792915	210428	0.987853327503944	0.0121466724960557	0.919188511034653	0.55109268287639	61378.7878787879	1752.61577522508	2004.0	"6, 7, 8"
"41005-0004"	45.25928	-122.588151	0.02	0.0253786195652174	0.084	65.885610707343	58.7777777777778	76.0538164251208	9	72008	0.689687256971448	0.497625263859571	0.192061993111876	0.310312743028552	0.932771358737918	0.00383290745472725	0.0572714142873014	0.276372120900762	51777.0	0.0618140211602842	0.500347183646262	27179	0.695132271238824	0.304867728761176	0.949887781007395	0.501568733780067	202225.0	337.689831700636	2004.0	"6, 7, 8"
"41005-2002"	45.443178	-122.638042	0.016	0.0180534347826087	0.077	65.885610707343	58.7777777777778	76.0538164251208	9	424566	0.992373388354225	0.992373388354225	0.0	0.00762661164577474	0.865222368253699	0.0158609026629546	0.0495588436191311	0.19897673566463	45071.9473684211	0.0982543593040466	0.506712737242266	193396	0.993805456162485	0.00619454383751474	0.944600715630106	0.56018655368345	220384.210526316	3404.2273200843	2004.0	"6, 7, 8"
"41009-0004"	45.768531	-122.7721	0.019	0.0230530326086957	0.061	65.885610707343	58.7777777777778	76.0538164251208	9	36962	0.701260754288188	0.643525783236838	0.05773497105135	0.298739245711812	0.927411936583518	0.00708836101942536	0.0207239867972512	0.252751782990477	59329.6666666667	0.0541967079308938	0.505816784806017	14029	0.718297811675814	0.281702188324186	0.959013472093521	0.493087557603687	199766.666666667	441.440683227153	2004.0	"6, 7, 8"
"41029-0201"	42.229891	-122.7877	0.028	0.0346019130434783	0.076	68.4788122427536	64.3333333333333	83.4710144927536	3	11963	0.887987962885564	0.887987962885564	0.0	0.112012037114436	0.907631864916827	0.00334364289893839	0.102733428069882	0.299888101454681	31570.0	0.12932279717903	0.51124299924768	5184	0.893904320987654	0.106095679012346	0.953510802469136	0.606311956301841	121200.0	266.051056703251	2004.0	"6, 7, 8"
"41039-0060"	44.026312	-123.083737	0.02	0.0221083043478261	0.069	66.1751732789855	60.0	78.7789855072464	3	236175	0.956189266433789	0.956189266433789	0.0	0.0438107335662115	0.888197311315762	0.0094209802053562	0.0551794220387425	0.240435845050675	35518.8571428571	0.168406862212172	0.510117497618292	102634	0.959438392735351	0.0405616072646491	0.949461192197517	0.599228298459676	148614.285714286	865.625687000325	2004.0	"6, 7, 8"
"41039-1007"	43.8345	-123.0353	0.019	0.0213025217391304	0.076	65.8953804184783	60.0	79.429347826087	2	52796	0.821728918857489	0.542332752481249	0.279396166376241	0.178271081142511	0.916603530570498	0.00517084627623305	0.0421433441927419	0.291790981161026	39912.6666666667	0.119875086213503	0.510209106750511	20868	0.820682384512172	0.179317615487828	0.956296722254169	0.504409701342954	134000.0	149.726997536981	2004.0	"6, 7, 8"
"41047-0004"	44.81029	-122.915085	0.019	0.0213342444444444	0.067	65.3449789157609	58.375	75.5380434782609	8	10480	0.450381679389313	0.139312977099237	0.311068702290076	0.549618320610687	0.905629770992366	0.00114503816793893	0.0658396946564885	0.30205024545192	45356.0	0.0920432220039293	0.494656488549618	3783	0.443563309542691	0.556436690457309	0.954269098598996	0.437673130193906	141750.0	147.063323588322	2004.0	"6, 7, 8"
"41051-0080"	45.496641	-122.602877	0.018	0.020820989010989	0.072	65.885610707343	58.7777777777778	76.0538164251208	9	544133	0.997974759847317	0.997974759847317	0.0	0.00202524015268326	0.793952949003277	0.0510169388734004	0.070536063793227	0.227320826289973	37029.9583333333	0.129896895574302	0.505264337946789	244757	0.998239069771243	0.0017609302287575	0.943070065411817	0.569813233516591	200312.5	4143.0334832912	2004.0	"6, 7, 8"
"42001-0002"	39.93	-77.25	0.03	0.0360687826086957	0.074	73.0269174929897	69.4	80.7897655105032	10	18273	0.0	0.0	0.0	1.0	0.932085590762327	0.0096864225907076	0.0843320746456521	0.4365105271748	42465.1666666667	0.0708774250440917	0.490888195698572	7309	0.0	1.0	0.929949377479819	0.36707370898926	104633.333333333	96.6602345256284	2004.0	"6, 7, 8"
"42003-0008"	40.46542	-79.960757	0.021	0.027327152173913	0.077	62.8757690434783	59.0	70.195652173913	1	1327266	0.988025007797985	0.988025007797985	0.0	0.0119749922020153	0.70917886844084	0.246245289188452	0.0112373857237359	0.335237474985768	31611.7794117647	0.186603900316695	0.521435040150203	625562	0.990573276509762	0.00942672349023758	0.882035673522369	0.443454495367618	84754.4117647059	3018.54897581191	2004.0	"6, 7, 8"
